addedby    ,addmethod        ,createddate            ,dateunsubscribed       ,emailaddress                                                                                                                                                                                                                                                  ,listid     ,listname                                          ,listtype        ,status      ,subscriberid,subscriberkey                                                                                                                                                                                                                                                 ,subscribertype                                                                                      
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,34185287@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34185287,34185287@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,34336491@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34336491,34336491@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,35469215@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    35469215,35469215@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,36076213@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36076213,36076213@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,36791191@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    36791191,36791191@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,37565680@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37565680,37565680@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,38014997@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38014997,38014997@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,38033047@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38033047,38033047@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,38108629@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38108629,38108629@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,38588835@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38588835,38588835@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,41218277@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    41218277,41218277@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,42471593@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    42471593,42471593@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,42509018@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    42509018,42509018@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,43297047@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43297047,43297047@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,43734350@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43734350,43734350@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,43750742@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43750742,43750742@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,43774114@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43774114,43774114@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:54:00.000,                   NULL,8984949@yahoo.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     8984949,8984949@yahoo.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,16446816@GMAIL.COM                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    16446816,16446816@GMAIL.COM                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,17026146@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    17026146,17026146@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,29729152@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    29729152,29729152@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,34275693@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34275693,34275693@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,34509629@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34509629,34509629@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,34943835@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34943835,34943835@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,36194735@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    36194735,36194735@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,36319681@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36319681,36319681@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,36410229@icloud.com                                                                                                                                                                                                                                           ,          1,devsunited                                        ,List            ,Active      ,    36410229,36410229@icloud.com                                                                                                                                                                                                                                           ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,36602449@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    36602449,36602449@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,36703614@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36703614,36703614@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,36801697@aol.com                                                                                                                                                                                                                                              ,          1,devsunited                                        ,List            ,Active      ,    36801697,36801697@aol.com                                                                                                                                                                                                                                              ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,37687794@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37687794,37687794@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,37933951@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37933951,37933951@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,38074042@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38074042,38074042@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,39227656@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    39227656,39227656@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,42290446@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    42290446,42290446@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,43128198@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43128198,43128198@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,43194937@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43194937,43194937@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,43454643@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43454643,43454643@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,43622522@icloud.com                                                                                                                                                                                                                                           ,          1,devsunited                                        ,List            ,Active      ,    43622522,43622522@icloud.com                                                                                                                                                                                                                                           ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,43758445@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43758445,43758445@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,43760639@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43760639,43760639@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,43780353@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43780353,43780353@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,6053227@yahoo.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     6053227,6053227@yahoo.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,6670861@hotmail.com                                                                                                                                                                                                                                           ,          1,devsunited                                        ,List            ,Active      ,     6670861,6670861@hotmail.com                                                                                                                                                                                                                                           ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:55:00.000,                   NULL,9391094@gmail.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     9391094,9391094@gmail.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,13743472@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    13743472,13743472@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,18575895@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    18575895,18575895@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,3286061@gmail.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     3286061,3286061@gmail.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,35152804@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    35152804,35152804@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,35167201@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    35167201,35167201@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,35607419@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    35607419,35607419@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,36660616@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36660616,36660616@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,37280701@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37280701,37280701@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,37489618@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37489618,37489618@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,37555338@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37555338,37555338@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,37795716@aol.com                                                                                                                                                                                                                                              ,          1,devsunited                                        ,List            ,Active      ,    37795716,37795716@aol.com                                                                                                                                                                                                                                              ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:56:00.000,                   NULL,37978568@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37978568,37978568@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
